trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.2, 'e': 0.9212719586963487}",20,14,-13.514903160841854,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.9203511472201247}",30,0,-139.2618879101735,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.2, 'e': 0.9194312560951247}",20,0,-28.77034857653832,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.2, 'e': 0.9185122844014574}",20,0,-32.13235823280668,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.9175942312201509}",25,0,-101.77466273209039,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
87,False,"{'a': 0.2, 'e': 0.9166770956331523}",25,0,-148.38002427317932,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
88,False,"{'a': 0.2, 'e': 0.9157608767233256}",30,0,-144.43516076469297,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
89,False,"{'a': 0.2, 'e': 0.914845573574452}",20,0,-167.67986474335038,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
90,False,"{'a': 0.2, 'e': 0.9139311852712282}",20,0,-39.38791606385057,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.9130177108992658}",20,0,-129.93262555448663,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
92,False,"{'a': 0.2, 'e': 0.9121051495450904}",20,0,-81.34645904686354,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.2, 'e': 0.9111935002961405}",30,0,-249.07762171205337,"{0: 18, 1: 0, 2: 5, 3: 3, 4: 4}",0
94,False,"{'a': 0.2, 'e': 0.910282762240767}",35,0,-121.17505244449445,"{0: 23, 1: 0, 2: 11, 3: 0, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.9093729344682314}",30,0,-138.39174299786197,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
96,False,"{'a': 0.2, 'e': 0.9084640160687062}",20,0,-109.83890664374535,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
